HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,NetWeightKg,ValueOfGoodsFOBUSD
0304890000,Illari Sociedad Anonima Cerrada,PJ. SOLARI NRO. 104 INT. 101A LIMA - LIMA - BARRANCO,934152145,36676101,,ILLARI SOCIEDAD ANONIMA CERRADA,21654.0,113000.4
0301920000,Acuatrade S.A.C.,CAL. LAS MALVINAS NRO. S/N CAS. RUMOCOCHA SECTOR 08 SAN JUAN,,23118600,,ACUATRADE S.A.C.,10.0,80.0
0307490000,Sakana Del Peru S.A,CAL. SINCHI ROCA NRO. 2751 U.V. SINCHI ROCA LIMA LINCE,934733866,1240419,1334-JP,SAKANA DEL PERU S.A,24020.0,11694.64
0307490000,Productora Andina De Congelados,CAR. TAMBOGRANDE KM. 2.1. MZA. C LO 05 Z.I. Z.INDUSTRIAL MUNICIPAL 1 P RA - SULLANA - SULLANA-PERU TELF.: 51-73508625,,45991342,,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,23190.0,12754.5
0304990000,Matarani Sociedad Anonima Cerrada,AV. FELIPE PARDO Y ALIAGA NRO. 699 INT. 601 A,,36700980,,MATARANI SOCIEDAD ANONIMA CERRADA,2965.36,19146.19
0306171300,Marinazul S.A.,AV. EL DERBY 250 URB. EL DERBY DE MONTERRICO SANTIAGO DE SURCO LIMA PERU 51-16210805,,33928372,CSOL-NO,MARINAZUL S.A.,6113.64,53075.0
0307490000,Frozen Products Corp.,JR. JORGE CASTRO HARRINSON 451 SAN GUEL LIMA 32 PERU,953252652,46002164,,FROZEN PRODUCTS CORPORATION SOCIEDAD ANO,3211.2,7256.65
0301110000,Yacurunas International Enterprise E.I.,JR. SAN MARTIN NRO.151 IQUITOS - MAINAS - LORETO,565944006,24982696,,YACURUNA'S INTERNATIONAL ENTERPRISE E.I.,320.0,75.0
0307490000,Corporacion Internacional Manex S.A.C.,CAL. 24 NRO. 320 DPTO. 103 MCAL CASTILLA LIMA - LIMA - SAN B,,45754867,,CORPORACION INTERNACIONAL MANEX S.A.C.,10020.0,7143.89
0301110000,J.R. Tropical Fish Amazon Peru Empresa I,"AV. QUIÑONEZ ROS NRO. 4 (KM. 4, PEGADO AL MOLINO DE MONASI)",,35064069,,J.R. TROPICAL FISH AMAZON PERU EMPRESA I,200.0,498.2
1604132000,Alamesa S.A.C.,AV. DEL PINAR 134 OF. 1001 CHACARILLA SURCO LIMA - PERU,952992258,33470927,,ALAMESA S.A.C.,5035.0,13522.92
0307490000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,3580.0,7234.05
0304890000,Dexim Srl,II MANZANA A ZONA INDUSTRIAL PAITA PIURA SN,,1868398,,DEXIM SRL,1995.84,15501.38
1605540000,Inversiones Holding Peru Sociedad Anonim,MZA. V LOTE. 1D Z.I. II PIURA - PAITA - PAITA,934925125,28287918,,INVERSIONES HOLDING PERU SOCIEDAD ANONIM,44800.0,253785.0
1605540000,Costa Mira Sociedad Anonima Cerrada,AV. LOS DIAMANTES MZA. E LOTE. 01 Z.I. ZONA INDUSTRIAL PIURA,934955762,28783194,,COSTA MIRA SOCIEDAD ANONIMA CERRADA,23400.0,57480.0
0307490000,Pesquera Abc Sac,CAR. PANAMERICANA NORTE KM. 1252 URB. LOS CEREZOS (INYSA COO,,28711818,,PESQUERA ABC SAC,24000.0,24301.0
0304990000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,9977.27,71947.82
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,4808.08,29740.02
0307410000,Intriago Alvarez Jose Gregorio,MZA. F LOTE. 04 A.H. LA CURVA - 4 ETAPA (CERCA ALMACEN COMPL,,37660504,,INTRIAGO ALVAREZ JOSE GREGORIO,30000.0,7500.0
0307490000,Kampo Marino Peru S.R.Ltda.,AV. SAN JOSE NRO. 577 URB. SAN JOSE (COSTADO CLINICA SAN JOS,,23122606,,KAMPO MARINO PERU S.R.LTDA.,21296.0,19969.73
0307291000,Premium Fish S.A.C.,AV. RICARDO ELIAS APARICIO 141 OFIC. 14 RINCONADA ALTA LA MOLINA LIMA 12 PERU,953764235,1221166,,PREMIUM FISH S.A.C.,16706.4,296579.0
